CueAnexo,Nombre,Regimen,Latitud,Longitud,Localidad,Departamento,Jurisdiccion
180000100,ESCUELA Nº 793 NICASIO OJEDA,Publico,-58.7928,-28.38425,MUCHAS ISLAS,BELLA VISTA,Consejo General de Educacion
180000200,ESCUELA Nº 790,Publico,-58.94809628,-28.38088485,COLONIA 3 DE ABRIL,BELLA VISTA,Consejo General de Educacion
180000300,ESCUELA Nº 706,Publico,-58.97847888,-28.45115102,COLONIA 3 DE ABRIL,BELLA VISTA,Consejo General de Educacion
180000400,ESCUELA Nº 692,Publico,-58.88494184,-28.3809432,COLONIA 3 DE ABRIL,BELLA VISTA,Consejo General de Educacion
180000500,ESCUELA Nº 450 OSCAR RUPERTO ALDERETE,Publico,-58.91289291,-28.40771817,COLONIA 3 DE ABRIL,BELLA VISTA,Consejo General de Educacion
180000600,ESCUELA Nº 436 PADRE JORGE KLOSTER,Publico,-58.94959702,-28.42914984,COLONIA 3 DE ABRIL,BELLA VISTA,Consejo General de Educacion
180000700,ESCUELA Nº 20,Publico,-58.9735926,-28.5071828,LOMAS NORTE,BELLA VISTA,Consejo General de Educacion
180000800,ESCUELA Nº 19 VICTORIA CUEVAS CORREA,Publico,-58.99228444,-28.48490592,LOMAS NORTE,BELLA VISTA,Consejo General de Educacion
180000900,ESCUELA Nº 846,Publico,-58.76868716,-28.52054746,SANTILLAN,BELLA VISTA,Consejo General de Educacion
180001000,ESCUELA Nº 820,Publico,-58.80636467,-28.53842192,JUAN DIAZ,BELLA VISTA,Consejo General de Educacion
180001100,ESCUELA Nº 734 ABIGAIL PINTOS LOPEZ,Publico,-58.9808809,-28.7807046,DESMOCHADO          ,BELLA VISTA,Consejo General de Educacion
180001200,ESCUELA Nº 452 PROVINCIA DE CORRIENTES,Publico,-58.94885012,-28.65959873,COLONIA PROGRESO    ,BELLA VISTA,Consejo General de Educacion
180001300,ESCUELA Nº 224 MARIA ALEGRE DE BEHR,Publico,-58.988433,-28.7596235,DESMOCHADO          ,BELLA VISTA,Consejo General de Educacion
180001400,ESCUELA Nº 25 DON RAFAEL MONTIEL,Publico,-58.73682643,-28.49695846,SANTILLAN,BELLA VISTA,Consejo General de Educacion
